,ChampionshipWinner,Season,Championship,Country,CoachWinner
570,NK Croatia Zagreb,1996/1997,1.HNL_1996/1997,Croatia,Otto Baric
571,NK Croatia Zagreb,1995/1996,1.HNL_1995/1996,Croatia,Zlatko Kranjcar
572,HNK Hajduk Split,1994/1995,1.HNL_1994/1995,Croatia,-
573,HNK Hajduk Split,1993/1994,1.HNL_1993/1994,Croatia,-
574,1.HSK Gradanski,1992/1993,1.HNL_1992/1993,Croatia,-
575,HNK Hajduk Split,1991/1992,1.HNL_1991/1992,Croatia,-
576,HNK Hajduk Split,1945/1946,1.HNL_1945/1946,Croatia,-
577,HNK Hajduk Split,1940/1941,1.HNL_1940/1941,Croatia,-
578,NK Varazdin,2018/2019,2.HNL_2018/2019,Croatia,Branko Karacic
579,HNK Gorica,2017/2018,2.HNL_2017/2018,Croatia,Ivan Prelec
580,NK Rudes,2016/2017,2.HNL_2016/2017,Croatia,Igor Biscan
581,HNK Cibalia Vinkovci,2015/2016,2.HNL_2015/2016,Croatia,Stanko Mrsic
582,NK Zagreb,2013/2014,2.HNL_2013/2014,Croatia,Vjekoslav Lokica
583,NK Hrvatski Dragovoljac,2012/2013,2.HNL_2012/2013,Croatia,-
584,NK Dugopolje,2011/2012,2.HNL_2011/2012,Croatia,-
585,HNK Gorica,2010/2011,2.HNL_2010/2011,Croatia,-
586,RNK Split,2009/2010,2.HNL_2009/2010,Croatia,-
587,NK Istra 1961,2008/2009,2.HNL_2008/2009,Croatia,-
588,NK Croatia Sesvete,2007/2008,2.HNL_2007/2008,Croatia,-
589,NK Belisce,2005/2006,2.HNL_2005/2006,Croatia,-
590,HNK Sibenik,2005/2006,2.HNL_2005/2006,Croatia,-
591,NK Novalja,2004/2005,2.HNL_2004/2005,Croatia,-
592,HNK Cibalia Vinkovci,2004/2005,2.HNL_2004/2005,Croatia,-
593,NK Istra 1961,2003/2004,2.HNL_2003/2004,Croatia,-
594,NK Medjimurje Cakovec,2003/2004,2.HNL_2003/2004,Croatia,-
595,NK Marsonia Slavonski Brod,2002/2003,2.HNL_2002/2003,Croatia,-
596,NK Istra Pula,2001/2002,2.HNL_2001/2002,Croatia,-
597,NK Kamen Ingrad Velika,2000/2001,2.HNL_2000/2001,Croatia,-
598,NK Marsonia Slavonski Brod,1999/1900,2.HNL_1999/1900,Croatia,-
599,HNK Cibalia Vinkovci,1997/1998,2.HNL_1997/1998,Croatia,-
600,NK Croatia Djakovo,1996/1997,2.HNL_1996/1997,Croatia,-
601,Slaven Belupo Koprivnica,1995/1996,2.HNL_1995/1996,Croatia,-
602,NK Hrvatski Dragovoljac,1994/1995,2.HNL_1994/1995,Croatia,-
603,APOEL Nicosia,2018/2019,FirstDivision_2018/2019,Cyprus,Domenico Teti
604,APOEL Nicosia,2017/2018,FirstDivision_2017/2018,Cyprus,-
605,APOEL Nicosia,2016/2017,FirstDivision_2016/2017,Cyprus,Thomas Christiansen
606,APOEL Nicosia,2015/2016,FirstDivision_2015/2016,Cyprus,Georgios Kostis
607,APOEL Nicosia,2014/2015,FirstDivision_2014/2015,Cyprus,Kai-Norman Schulz
608,APOEL Nicosia,2013/2014,FirstDivision_2013/2014,Cyprus,Georgios Donis
609,APOEL Nicosia,2012/2013,FirstDivision_2012/2013,Cyprus,Ivan Jovanovic
610,AEL Limassol,2011/2012,FirstDivision_2011/2012,Cyprus,Pambos Christodoulou
611,APOEL Nicosia,2010/2011,FirstDivision_2010/2011,Cyprus,Ivan Jovanovic
612,Omonia Nicosia,2009/2010,FirstDivision_2009/2010,Cyprus,Takis Lemonis
613,APOEL Nicosia,2008/2009,FirstDivision_2008/2009,Cyprus,Ivan Jovanovic
614,Anorthosis Famagusta,2007/2008,FirstDivision_2007/2008,Cyprus,Temur Ketsbaia
615,APOEL Nicosia,2006/2007,FirstDivision_2006/2007,Cyprus,Marinos Ouzounidis
616,Apollon Limassol,2005/2006,FirstDivision_2005/2006,Cyprus,-
617,Anorthosis Famagusta,2004/2005,FirstDivision_2004/2005,Cyprus,Temur Ketsbaia
