,PlayerName,Age,Birthdate,Nationality,Position,Club,TShirtNumber,Value,Captain 
9383,Maxence Prévot,22 Years,"Apr 9, 1997 ",France,Goalkeeper,FC Sochaux-Montbéliard,16,€1.00m,Team captain
9384,Mehdi Jeannin,28 Years,"Apr 20, 1991 ",Algeria,Goalkeeper,FC Sochaux-Montbéliard,1,€400k,-
9385,Aubin Long,23 Years,"Mar 20, 1997 ",France,Goalkeeper,FC Sochaux-Montbéliard,40,€150k,-
9386,Maxence Lacroix,20 Years,"Apr 6, 2000 ",France,Defender,FC Sochaux-Montbéliard,5,€800k,-
9387,Adolphe Teikeu,29 Years,"Jun 23, 1990 ",Cameroon,Defender,FC Sochaux-Montbéliard,4,€600k,-
9388,Boris Moltenis,20 Years,"May 8, 1999 ",France,Defender,FC Sochaux-Montbéliard,23,€400k,-
9389,Christophe Diedhiou,32 Years,"Jan 8, 1988 ",Senegal,Defender,FC Sochaux-Montbéliard,18,€200k,-
9390,Nathan Zohoré,19 Years,"Nov 17, 2000 ",France,Defender,FC Sochaux-Montbéliard,33,€150k,-
9391,Christopher Rocchia,22 Years,"Feb 1, 1998 ",France,Defender,FC Sochaux-Montbéliard,13,€600k,-
9392,Nicolas Senzemba,24 Years,"Mar 25, 1996 ",France,Defender,FC Sochaux-Montbéliard,3,€150k,-
9393,Romain Sans,21 Years,"Mar 19, 1999 ",France,Defender,FC Sochaux-Montbéliard,19,€150k,-
9394,Salem M'Bakata,21 Years,"Apr 19, 1998 ",France,Defender,FC Sochaux-Montbéliard,22,€500k,-
9395,Pape Paye,29 Years,"May 31, 1990 ",France,Defender,FC Sochaux-Montbéliard,2,€400k,-
9396,Younès Kaabouni,24 Years,"May 23, 1995 ",France,Midfielder,FC Sochaux-Montbéliard,20,€600k,-
9397,Melvin Sitti,20 Years,"Feb 14, 2000 ",France,Midfielder,FC Sochaux-Montbéliard,33,€400k,-
9398,Ousseynou Thioune,26 Years,"Nov 16, 1993 ",Senegal,Midfielder,FC Sochaux-Montbéliard,6,€600k,-
9399,Sofiane Daham,24 Years,"Jan 15, 1996 ",Algeria,Midfielder,FC Sochaux-Montbéliard,8,€600k,-
9400,Rassoul Ndiaye,18 Years,"Dec 11, 2001 ",France,Midfielder,FC Sochaux-Montbéliard,25,€400k,-
9401,Jérémy Livolant,22 Years,"Jan 9, 1998 ",France,Midfielder,FC Sochaux-Montbéliard,29,€900k,-
9402,Fabien Ourega,27 Years,"Dec 7, 1992 ",France,Midfielder,FC Sochaux-Montbéliard,10,€400k,-
9403,Sofiane Diop,19 Years,"Jun 9, 2000 ",France,Midfielder,FC Sochaux-Montbéliard,7,€3.00m,-
9404,Gaëtan Weissbeck,23 Years,"Jan 17, 1997 ",France,Midfielder,FC Sochaux-Montbéliard,28,€700k,-
9405,Thomas Touré,26 Years,"Dec 27, 1993 ",Cote d'Ivoire,Forward,FC Sochaux-Montbéliard,14,€1.25m,-
9406,Tope Obadeyi,30 Years,"Oct 29, 1989 ",England,Forward,FC Sochaux-Montbéliard,12,€150k,-
9407,Abdoulaye Sané,27 Years,"Oct 15, 1992 ",Senegal,Forward,FC Sochaux-Montbéliard,27,€800k,-
9408,Bryan Lasme,21 Years,"Nov 14, 1998 ",France,Forward,FC Sochaux-Montbéliard,15,€400k,-
9409,Sloan Privat,30 Years,"Jul 24, 1989 ",French Guiana,Forward,FC Sochaux-Montbéliard,9,€250k,-
9410,Victor Glaentzlin,21 Years,"Apr 23, 1998 ",France,Forward,FC Sochaux-Montbéliard,31,€200k,-
9411,Amadou Ndiaye,20 Years,"Jan 2, 2000 ",Senegal,Forward,FC Sochaux-Montbéliard,17,€150k,-
9412,Jérôme Prior,24 Years,"Aug 8, 1995 ",France,Goalkeeper,Valenciennes FC,40,€900k,-
9413,Nicolas Kocik,21 Years,"Aug 4, 1998 ",France,Goalkeeper,Valenciennes FC,30,€250k,-
9414,Hillel Konaté,25 Years,"Dec 28, 1994 ",Cote d'Ivoire,Goalkeeper,Valenciennes FC,1,€200k,-
9415,Maxime Spano,25 Years,"Oct 31, 1994 ",Algeria,Defender,Valenciennes FC,5,€800k,-
9416,Emmanuel Ntim,24 Years,"Mar 12, 1996 ",Ghana,Defender,Valenciennes FC,25,€800k,-
9417,Lilian Brassier,20 Years,"Nov 2, 1999 ",France,Defender,Valenciennes FC,3,€700k,-
9418,Frédéric Bong,32 Years,"Jul 27, 1987 ",Cameroon,Defender,Valenciennes FC,27,€400k,-
9419,Elhadj Dabo,24 Years,"Nov 20, 1995 ",Senegal,Defender,Valenciennes FC,19,€200k,-
9420,Aly Abeid,22 Years,"Dec 11, 1997 ",Mauritania,Defender,Valenciennes FC,2,€300k,-
9421,Chérif Quenum,26 Years,"Jun 5, 1993 ",France,Defender,Valenciennes FC,15,€150k,-
9422,Laurent Dos Santos,27 Years,"Mar 21, 1993 ",France,Defender,Valenciennes FC,28,€900k,Team captain
9423,Joffrey Cuffaut,32 Years,"Mar 15, 1988 ",France,Defender,Valenciennes FC,14,€600k,-
9424,Julien Masson,21 Years,"Jun 18, 1998 ",France,Midfielder,Valenciennes FC,13,€1.50m,-
9425,Sessi D'Almeida,24 Years,"Nov 20, 1995 ",Benin,Midfielder,Valenciennes FC,4,€600k,-
9426,Gaëtan Arib,20 Years,"Nov 2, 1999 ",France,Midfielder,Valenciennes FC,6,€400k,-
9427,Noah Diliberto,18 Years,"Aug 9, 2001 ",France,Midfielder,Valenciennes FC,33,€200k,-
9428,Mahame Siby,23 Years,"Jul 7, 1996 ",France,Midfielder,Valenciennes FC,20,€150k,-
9429,Allan Linguet,20 Years,"Aug 17, 1999 ",France,Midfielder,Valenciennes FC,24,€150k,-
9430,Matteo Fedele,27 Years,"Jul 20, 1992 ",Switzerland,Midfielder,Valenciennes FC,8,€600k,-
9431,Steve Ambri,22 Years,"Aug 12, 1997 ",France,Midfielder,Valenciennes FC,7,€400k,-
9432,Aymen Boutoutaou,19 Years,"Feb 18, 2001 ",France,Midfielder,Valenciennes FC,32,€150k,-
9433,Kévin Cabral,20 Years,"Jul 10, 1999 ",France,Forward,Valenciennes FC,26,€600k,-
9434,Gauthier Hein,23 Years,"Aug 7, 1996 ",France,Forward,Valenciennes FC,10,€800k,-
9435,Malek Chergui,31 Years,"Jul 2, 1988 ",France,Forward,Valenciennes FC,11,€400k,-
9436,Baptiste Guillaume,24 Years,"Jun 16, 1995 ",Belgium,Forward,Valenciennes FC,18,€2.00m,-
9437,Benjamin Moukandjo,31 Years,"Nov 12, 1988 ",Cameroon,Forward,Valenciennes FC,12,€1.00m,-
9438,Teddy Chevalier,32 Years,"Jun 28, 1987 ",France,Forward,Valenciennes FC,9,€900k,-
9439,Mathieu Michel,28 Years,"Sep 4, 1991 ",France,Goalkeeper,AJ Auxerre,1,€800k,-
9440,Zacharie Boucher,28 Years,"Mar 7, 1992 ",France,Goalkeeper,AJ Auxerre,16,€500k,-
9441,Sonny Laiton,20 Years,"Jan 28, 2000 ",France,Goalkeeper,AJ Auxerre,30,€300k,-
9442,Alexandre Coeff,28 Years,"Feb 20, 1992 ",France,Defender,AJ Auxerre,20,€700k,-
9443,Samuel Souprayen,31 Years,"Feb 2, 1989 ",France,Defender,AJ Auxerre,26,€500k,Team captain
9444,Abdoul Ba,26 Years,"Feb 8, 1994 ",Mauritania,Defender,AJ Auxerre,5,€300k,-
9445,Serge-Philippe Raux Yao,20 Years,"May 30, 1999 ",France,Defender,AJ Auxerre,32,€150k,-
9446,Kenji-Van Boto,24 Years,"Mar 7, 1996 ",France,Defender,AJ Auxerre,13,€800k,-
9447,Quentin Bernard,30 Years,"Jul 7, 1989 ",France,Defender,AJ Auxerre,3,€700k,-
9448,Carlens Arcus,23 Years,"Jun 28, 1996 ",Haiti,Defender,AJ Auxerre,2,€700k,-
9449,Benjaloud Youssouf,26 Years,"Feb 11, 1994 ",Comoros,Defender,AJ Auxerre,17,€300k,-
9450,Birama Touré,27 Years,"Jun 6, 1992 ",Mali,Midfielder,AJ Auxerre,12,€900k,-
9451,Jordan Adéoti,31 Years,"Mar 12, 1989 ",Benin,Midfielder,AJ Auxerre,8,€600k,-
9452,François Bellugou,32 Years,"Apr 25, 1987 ",France,Midfielder,AJ Auxerre,18,€600k,-
9453,Aly Ndom,23 Years,"May 30, 1996 ",France,Midfielder,AJ Auxerre,6,€400k,-
9454,Ousoumane Camara,21 Years,"Dec 19, 1998 ",France,Midfielder,AJ Auxerre,34,€150k,-
9455,Rémy Dugimont,33 Years,"Jul 1, 1986 ",France,Midfielder,AJ Auxerre,29,€600k,-
9456,Hamza Sakhi,23 Years,"Jun 7, 1996 ",Morocco,Midfielder,AJ Auxerre,21,€700k,-
9457,Mickaël Barreto,29 Years,"Jan 18, 1991 ",France,Midfielder,AJ Auxerre,4,€600k,-
9458,Axel Ngando,26 Years,"Jul 13, 1993 ",France,Midfielder,AJ Auxerre,27,€600k,-
9459,Eddy Sylvestre,20 Years,"Aug 29, 1999 ",France,Midfielder,AJ Auxerre,15,€300k,-
9460,Samir Chergui,21 Years,"Feb 6, 1999 ",France,Midfielder,AJ Auxerre,23,€150k,-
9461,Yanis Begraoui,18 Years,"Jul 4, 2001 ",France,Forward,AJ Auxerre,19,€1.50m,-
9462,Mickaël Le Bihan,29 Years,"May 16, 1990 ",France,Forward,AJ Auxerre,22,€900k,-
9463,Dejan Sorgic,30 Years,"Sep 15, 1989 ",Serbia,Forward,AJ Auxerre,7,€700k,-
9464,Mohamed Yattara,26 Years,"Jul 28, 1993 ",Guinea,Forward,AJ Auxerre,11,€700k,-
9465,Xiaoxuan Ji,27 Years,"Mar 19, 1993 ",China,Forward,AJ Auxerre,10,€200k,-
9466,Lassine Sinayoko,20 Years,"Dec 8, 1999 ",France,Forward,AJ Auxerre,35,€150k,-
9467,Rémi Pillot,29 Years,"Jul 27, 1990 ",France,Goalkeeper,LB Châteauroux,16,€600k,-
9468,Julien Fabri,26 Years,"Feb 5, 1994 ",France,Goalkeeper,LB Châteauroux,1,€500k,-
9469,Wilfried Bedfian,18 Years,"Jul 9, 2001 ",France,Goalkeeper,LB Châteauroux,30,€150k,-
9470,Yannick M'Bone,26 Years,"Apr 16, 1993 ",Cameroon,Defender,LB Châteauroux,3,€1.00m,Team captain
9471,Sékou Condé,26 Years,"Jun 9, 1993 ",Guinea,Defender,LB Châteauroux,5,€800k,-
9472,Issa Marega,21 Years,"Apr 20, 1998 ",France,Defender,LB Châteauroux,17,€600k,-
9473,Christopher Operi,22 Years,"Apr 29, 1997 ",France,Defender,LB Châteauroux,21,€1.00m,-
9474,Chaker Alhadhur,28 Years,"Dec 4, 1991 ",Comoros,Defender,LB Châteauroux,24,€800k,-
9475,Alexandre Raineau,33 Years,"Jun 21, 1986 ",France,Defender,LB Châteauroux,20,€300k,-
9476,Jérémy Cordoval,30 Years,"Jan 12, 1990 ",Guadeloupe,Defender,LB Châteauroux,28,€600k,-
9477,Nama Fofana,29 Years,"Jun 12, 1990 ",France,Defender,LB Châteauroux,12,€400k,-
9478,Opa Sangante,29 Years,"Feb 1, 1991 ",Senegal,Midfielder,LB Châteauroux,19,€700k,-
9479,Rémi Mulumba,27 Years,"Nov 2, 1992 ",DR Congo,Midfielder,LB Châteauroux,4,€500k,-
9480,Valentin Vanbaleghem,23 Years,"Oct 9, 1996 ",France,Midfielder,LB Châteauroux,8,€500k,-
9481,Léo Leroy,20 Years,"Feb 14, 2000 ",France,Midfielder,LB Châteauroux,27,€400k,-
9482,Romain Grange,31 Years,"Jul 21, 1988 ",France,Midfielder,LB Châteauroux,15,€500k,-
9483,Brian Chevreuil,23 Years,"Feb 26, 1997 ",Haiti,Midfielder,LB Châteauroux,26,€300k,-
9484,Ylyas Chouaref,19 Years,"Dec 12, 2000 ",France,Forward,LB Châteauroux,25,€1.50m,-
9485,Haissem Hassan,18 Years,"Feb 8, 2002 ",France,Forward,LB Châteauroux,23,€1.00m,-
9486,Guevin Tormin,22 Years,"Oct 28, 1997 ",France,Forward,LB Châteauroux,10,€700k,-
9487,Razak Boukari,32 Years,"Apr 25, 1987 ",Togo,Forward,LB Châteauroux,11,€400k,-
9488,Cheick Diarra,28 Years,"Feb 11, 1992 ",Mali,Forward,LB Châteauroux,9,€600k,-
9489,Alexis Gonçalves Pereira,23 Years,"Apr 4, 1997 ",France,Forward,LB Châteauroux,14,€500k,-
9490,Gilles Sunu,29 Years,"Mar 30, 1991 ",Togo,Forward,LB Châteauroux,18,€450k,-
9491,Philippe Paulin Keny,20 Years,"May 18, 1999 ",Senegal,Forward,LB Châteauroux,22,€400k,-
9492,Saturnin Allagbé,26 Years,"Nov 22, 1993 ",Benin,Goalkeeper,FC Chamois Niort,1,€600k,-
9493,Quentin Braat,22 Years,"Jul 6, 1997 ",France,Goalkeeper,FC Chamois Niort,30,€500k,-
9494,Enzo Pauchet,23 Years,"Mar 22, 1997 ",France,Goalkeeper,FC Chamois Niort,16,€150k,-
9495,Ibrahima Conté,24 Years,"Apr 3, 1996 ",Guinea,Defender,FC Chamois Niort,15,€600k,-
9496,Issouf Paro,25 Years,"Oct 16, 1994 ",Burkina Faso,Defender,FC Chamois Niort,28,€500k,-
9497,Matthieu Sans,31 Years,"Jun 16, 1988 ",France,Defender,FC Chamois Niort,5,€400k,Team captain
9498,Brahima Doukansy,20 Years,"Aug 21, 1999 ",France,Defender,FC Chamois Niort,19,€300k,-
9499,Guy-Marcelin Kilama,20 Years,"May 30, 1999 ",Cameroon,Defender,FC Chamois Niort,25,€300k,-
9500,Bryan Passi,22 Years,"Aug 5, 1997 ",France,Defender,FC Chamois Niort,27,€300k,-
9501,Dylan Fontani,23 Years,"Feb 13, 1997 ",France,Defender,FC Chamois Niort,4,€150k,-
9502,Darline Yongwa,19 Years,"Sep 22, 2000 ",Cameroon,Defender,FC Chamois Niort,33,€400k,-
9503,Florian Lapis,26 Years,"Aug 8, 1993 ",Martinique,Defender,FC Chamois Niort,3,€300k,-
9504,Julien Da Costa,23 Years,"May 29, 1996 ",France,Defender,FC Chamois Niort,23,€600k,-
9505,Thibaut Vion,26 Years,"Dec 11, 1993 ",France,Defender,FC Chamois Niort,14,€400k,-
9506,Dylan Louiserre,25 Years,"Feb 2, 1995 ",France,Midfielder,FC Chamois Niort,6,€1.00m,-
9507,Quentin Bena,21 Years,"May 11, 1998 ",France,Midfielder,FC Chamois Niort,22,€400k,-
9508,Yacine Bourhane,21 Years,"Sep 30, 1998 ",France,Midfielder,FC Chamois Niort,24,€300k,-
9509,Olivier Kemen,23 Years,"Jul 20, 1996 ",France,Midfielder,FC Chamois Niort,8,€1.50m,-
9510,Brahim Konaté,24 Years,"Mar 20, 1996 ",France,Midfielder,FC Chamois Niort,26,€600k,-
9511,Goduine Koyalipou,20 Years,"Feb 15, 2000 ",France,Midfielder,FC Chamois Niort,18,€1.00m,-
9512,David Djigla,24 Years,"Aug 23, 1995 ",Benin,Midfielder,FC Chamois Niort,7,€600k,-
9513,Antoine Leautey,23 Years,"Apr 14, 1996 ",France,Midfielder,FC Chamois Niort,12,€600k,-
9514,Valentin Jacob,25 Years,"Jun 15, 1994 ",France,Midfielder,FC Chamois Niort,10,€600k,-
9515,Louis Ameka Autchanga,23 Years,"Oct 3, 1996 ",Gabon,Midfielder,FC Chamois Niort,17,€400k,-
9516,Ibrahim Sissoko,24 Years,"Nov 27, 1995 ",France,Forward,FC Chamois Niort,9,€1.25m,-
9517,Antoine Baroan,19 Years,"Jun 24, 2000 ",France,Forward,FC Chamois Niort,20,€400k,-
9518,Pedro Henrique,26 Years,"Jun 14, 1993 ",Brazil,Forward,FC Chamois Niort,11,€300k,-
9519,Zoumana Koné,28 Years,"Oct 27, 1991 ",Cote d'Ivoire,Forward,FC Chamois Niort,21,€200k,-
9520,Pierre Patron,22 Years,"Aug 20, 1997 ",France,Goalkeeper,FC Le Mans,1,€500k,-
9521,Yohann Thuram,31 Years,"Oct 31, 1988 ",Guadeloupe,Goalkeeper,FC Le Mans,16,€500k,-
9522,Jérémy Aymes,31 Years,"Jul 12, 1988 ",France,Goalkeeper,FC Le Mans,30,€150k,-
9523,Frédéric Veseli,27 Years,"Nov 20, 1992 ",Albania,Defender,FC Le Mans,13,€900k,-
9524,Pierre Lemonnier,26 Years,"Jul 6, 1993 ",France,Defender,FC Le Mans,24,€600k,Team captain
9525,Jérémy Choplin,35 Years,"Feb 9, 1985 ",France,Defender,FC Le Mans,21,€500k,-
9526,Tom Duponchelle,24 Years,"Feb 17, 1996 ",France,Defender,FC Le Mans,12,€400k,-
9527,Thomas Dasquet,25 Years,"Jun 3, 1994 ",France,Defender,FC Le Mans,28,€400k,-
9528,Yrondu Musavu-King,28 Years,"Jan 8, 1992 ",Gabon,Defender,FC Le Mans,29,€400k,-
9529,Enzo Ebosse,21 Years,"Mar 11, 1999 ",France,Defender,FC Le Mans,3,€500k,-
9530,Dorian Lévêque,30 Years,"Nov 22, 1989 ",France,Defender,FC Le Mans,5,€400k,-
9531,Alexandre Vardin,30 Years,"Sep 18, 1989 ",France,Defender,FC Le Mans,2,€300k,-
9532,Guessouma Fofana,27 Years,"Dec 17, 1992 ",France,Midfielder,FC Le Mans,6,€800k,-
9533,Aloïs Confais,23 Years,"Sep 7, 1996 ",France,Midfielder,FC Le Mans,8,€600k,-
9534,Yann Boé-Kane,29 Years,"Apr 5, 1991 ",France,Midfielder,FC Le Mans,14,€600k,-
9535,Hamza Hafidi,27 Years,"Feb 9, 1993 ",Morocco,Midfielder,FC Le Mans,10,€300k,-
9536,Lorenzo Rajot,22 Years,"Oct 13, 1997 ",France,Midfielder,FC Le Mans,26,€400k,-
9537,Harisson Manzala,26 Years,"Mar 6, 1994 ",DR Congo,Midfielder,FC Le Mans,27,€1.00m,-
9538,Aboubakary Kanté,25 Years,"Aug 11, 1994 ",France,Midfielder,FC Le Mans,23,€1.00m,-
9539,Youssef Maziz,21 Years,"Jun 24, 1998 ",France,Midfielder,FC Le Mans,18,€800k,-
9540,Georges Gope-Fenepej,31 Years,"Oct 23, 1988 ",Neukaledonien,Midfielder,FC Le Mans,19,€300k,-
9541,Stéphen Vincent,33 Years,"Sep 2, 1986 ",France,Midfielder,FC Le Mans,7,€200k,-
9542,Stéphane Diarra,21 Years,"Dec 9, 1998 ",Cote d'Ivoire,Forward,FC Le Mans,25,€900k,-
9543,Yanis Merdji,26 Years,"Oct 29, 1993 ",France,Forward,FC Le Mans,17,€800k,-
9544,Bevic Moussiti-Oko,25 Years,"Jan 28, 1995 ",Congo,Forward,FC Le Mans,20,€800k,-
9545,Vincent Créhin,31 Years,"Jan 21, 1989 ",France,Forward,FC Le Mans,9,€400k,-
9546,Baptiste Valette,27 Years,"Sep 1, 1992 ",France,Goalkeeper,AS Nancy-Lorraine,1,€1.00m,-
9547,Martin Sourzac,28 Years,"Mar 25, 1992 ",France,Goalkeeper,AS Nancy-Lorraine,16,€300k,-
9548,Hugo Constant,20 Years,"Nov 26, 1999 ",France,Goalkeeper,AS Nancy-Lorraine,30,€150k,-
9549,Abdelhamid El Kaoutari,30 Years,"Mar 17, 1990 ",Morocco,Defender,AS Nancy-Lorraine,3,€600k,-
9550,Ernest Seka,32 Years,"Jun 22, 1987 ",Guinea,Defender,AS Nancy-Lorraine,22,€500k,-
9551,Christopher Wooh,18 Years,"Sep 18, 2001 ",France,Defender,AS Nancy-Lorraine,-,€150k,-
9552,Ryan Bidounga,22 Years,"Apr 29, 1997 ",France,Defender,AS Nancy-Lorraine,5,€150k,-
9553,Hervé Lybohy,36 Years,"Jul 23, 1983 ",Niger,Defender,AS Nancy-Lorraine,14,€150k,-
9554,Saliou Ciss,30 Years,"Sep 15, 1989 ",Senegal,Defender,AS Nancy-Lorraine,23,€800k,-
9555,Vincent Muratori,32 Years,"Aug 3, 1987 ",France,Defender,AS Nancy-Lorraine,26,€400k,Team captain
9556,Loris Néry,29 Years,"Feb 5, 1991 ",France,Defender,AS Nancy-Lorraine,12,€500k,-
9557,Souleymane Karamoko,27 Years,"Jul 29, 1992 ",France,Defender,AS Nancy-Lorraine,18,€400k,-
9558,Vincent Marchetti,22 Years,"Jul 4, 1997 ",France,Midfielder,AS Nancy-Lorraine,8,€500k,-
9559,Ogou Akichi,29 Years,"Apr 24, 1990 ",Cote d'Ivoire,Midfielder,AS Nancy-Lorraine,24,€500k,-
9560,Kenny Rocha Santos,20 Years,"Jan 3, 2000 ",Cape Verde,Midfielder,AS Nancy-Lorraine,15,€700k,-
9561,Grégoire Lefebvre,25 Years,"May 13, 1994 ",France,Midfielder,AS Nancy-Lorraine,6,€400k,-
9562,Serge N'Guessan,25 Years,"Dec 17, 1994 ",Cote d'Ivoire,Midfielder,AS Nancy-Lorraine,13,€400k,-
9563,Amine Bassi,22 Years,"Nov 27, 1997 ",Morocco,Midfielder,AS Nancy-Lorraine,10,€1.50m,-
9564,Ousmane Cissokho,33 Years,"Jan 14, 1987 ",Senegal,Forward,AS Nancy-Lorraine,7,€600k,-
9565,Dorian Bertrand,26 Years,"May 21, 1993 ",France,Forward,AS Nancy-Lorraine,11,€400k,-
9566,Yanis Barka,21 Years,"Apr 18, 1998 ",France,Forward,AS Nancy-Lorraine,19,€150k,-
9567,Vagner,24 Years,"Jan 10, 1996 ",Cape Verde,Forward,AS Nancy-Lorraine,27,€2.00m,-
9568,Mons Bassouamina,21 Years,"May 28, 1998 ",France,Forward,AS Nancy-Lorraine,25,€400k,-
9569,Makhtar Gueye,22 Years,"Dec 4, 1997 ",Senegal,Forward,AS Nancy-Lorraine,29,€600k,-
9570,Andé Dona Ndoh,33 Years,"May 22, 1986 ",Cameroon,Forward,AS Nancy-Lorraine,9,€400k,-
9571,Malaly Dembélé,22 Years,"Jun 17, 1997 ",France,Forward,AS Nancy-Lorraine,17,€400k,-
9572,Vinni Triboulet,20 Years,"Jun 18, 1999 ",France,Forward,AS Nancy-Lorraine,33,€300k,-
9573,Benjamin Leroy,31 Years,"Apr 7, 1989 ",France,Goalkeeper,AC Ajaccio,1,€900k,-
9574,François-Joseph Sollacaro,26 Years,"Mar 21, 1994 ",France,Goalkeeper,AC Ajaccio,30,€150k,-
9575,Lucas Marsella,20 Years,"Jan 11, 2000 ",France,Goalkeeper,AC Ajaccio,40,€150k,-
9576,Sidney Obissa,19 Years,"May 4, 2000 ",Gabon,Defender,AC Ajaccio,35,,-
9577,Cédric Avinel,33 Years,"Sep 11, 1986 ",Guadeloupe,Defender,AC Ajaccio,21,€500k,-
9578,Jérémy Corinus,23 Years,"Mar 16, 1997 ",France,Defender,AC Ajaccio,33,€300k,-
9579,Matthieu Huard,21 Years,"May 9, 1998 ",France,Defender,AC Ajaccio,23,€600k,-
9580,Ismaël Diallo,23 Years,"Jan 29, 1997 ",Cote d'Ivoire,Defender,AC Ajaccio,3,€400k,-
9581,Gédéon Kalulu,22 Years,"Aug 29, 1997 ",France,Defender,AC Ajaccio,2,€1.50m,-
9582,Abdoulaye Keita,26 Years,"Jan 5, 1994 ",Mali,Midfielder,AC Ajaccio,15,€500k,-
9583,Lucas Pellegrini,19 Years,"Apr 17, 2000 ",France,Midfielder,AC Ajaccio,35,€300k,-
9584,Clench Loufilou,20 Years,"Apr 12, 1999 ",Gabon,Midfielder,AC Ajaccio,13,€150k,-
9585,Qazim Laçi,24 Years,"Jan 19, 1996 ",Albania,Midfielder,AC Ajaccio,10,€1.00m,-
9586,Mathieu Coutadeur,34 Years,"Mar 20, 1986 ",France,Midfielder,AC Ajaccio,6,€700k,-
9587,Mohamed Youssouf,32 Years,"Mar 26, 1988 ",Comoros,Midfielder,AC Ajaccio,20,€300k,-
9588,Matteo Tramoni,20 Years,"Jan 20, 2000 ",France,Midfielder,AC Ajaccio,11,€1.50m,-
9589,Kevin Lejeune,35 Years,"Jan 22, 1985 ",France,Midfielder,AC Ajaccio,22,€400k,-
9590,Johan Cavalli,38 Years,"Sep 12, 1981 ",France,Midfielder,AC Ajaccio,18,€300k,Team captain
9591,Félix Tomi,19 Years,"Aug 31, 2000 ",France,Midfielder,AC Ajaccio,34,€300k,-
9592,Cyrille Bayala,23 Years,"May 24, 1996 ",Burkina Faso,Forward,AC Ajaccio,7,€800k,-
9593,Alexis Flips,20 Years,"Jan 18, 2000 ",France,Forward,AC Ajaccio,14,€600k,-
9594,Ablie Jallow,21 Years,"Nov 14, 1998 ",The Gambia,Forward,AC Ajaccio,26,€600k,-
9595,Gaëtan Courtet,31 Years,"Feb 22, 1989 ",France,Forward,AC Ajaccio,9,€800k,-
9596,Hugo Cuypers,23 Years,"Feb 7, 1997 ",Belgium,Forward,AC Ajaccio,19,€700k,-
9597,Mounaïm El Idrissy,21 Years,"Feb 10, 1999 ",France,Forward,AC Ajaccio,36,€500k,-
9598,Joseph Mendes,29 Years,"Mar 30, 1991 ",Guinea-Bissau,Forward,AC Ajaccio,12,€200k,-
9599,Maki Tall,24 Years,"Oct 30, 1995 ",United States,Forward,AC Ajaccio,29,€150k,-
9600,Jérémy Vachoux,25 Years,"Jul 7, 1994 ",France,Goalkeeper,US Orléans,30,€600k,-
9601,Alexandre Letellier,29 Years,"Dec 11, 1990 ",France,Goalkeeper,US Orléans,16,€500k,-
9602,Thomas Renault,36 Years,"Mar 5, 1984 ",France,Goalkeeper,US Orléans,1,€200k,-
9603,Ludovic Le Pennec,19 Years,"Mar 3, 2001 ",France,Goalkeeper,US Orléans,40,€150k,-
9604,Gabriel Mutombo,24 Years,"Jan 19, 1996 ",France,Defender,US Orléans,4,€600k,-
9605,Cédric Cambon,33 Years,"Sep 20, 1986 ",France,Defender,US Orléans,3,€500k,-
9606,Nicolas Saint-Ruf,27 Years,"Oct 24, 1992 ",France,Defender,US Orléans,14,€300k,-
9607,Alex Marchadier,21 Years,"Sep 26, 1998 ",France,Defender,US Orléans,19,€300k,-
9608,Alioune Ba,30 Years,"Nov 7, 1989 ",France,Defender,US Orléans,17,€200k,-
9609,Arial Mendy,25 Years,"Nov 7, 1994 ",Senegal,Defender,US Orléans,18,€600k,-
9610,Gauthier Pinaud,32 Years,"Jan 8, 1988 ",France,Defender,US Orléans,22,€300k,Team captain
9611,Abdoulkader Thiam,21 Years,"Oct 3, 1998 ",Mauritania,Defender,US Orléans,28,€200k,-
9612,Stéphane Lambese,24 Years,"May 10, 1995 ",Haiti,Defender,US Orléans,23,€400k,-
9613,Arnaud Luzayadio,20 Years,"Jul 19, 1999 ",France,Defender,US Orléans,12,€200k,-
9614,Thomas Ephestion,24 Years,"Jun 9, 1995 ",Martinique,Midfielder,US Orléans,10,€400k,-
9615,Joseph Lopy,28 Years,"Mar 15, 1992 ",Senegal,Midfielder,US Orléans,8,€900k,-
9616,Yohan Demoncy,24 Years,"Apr 7, 1996 ",France,Midfielder,US Orléans,24,€700k,-
9617,Maxime D'Arpino,23 Years,"Jun 17, 1996 ",France,Midfielder,US Orléans,6,€500k,-
9618,Amine Talal,23 Years,"Jun 5, 1996 ",Morocco,Midfielder,US Orléans,29,€300k,-
9619,Tidiane Keita,23 Years,"Sep 18, 1996 ",France,Midfielder,US Orléans,11,€200k,-
9620,Gaëtan Perrin,23 Years,"Jun 7, 1996 ",France,Midfielder,US Orléans,7,€400k,-
9621,Vincent Thill,20 Years,"Feb 4, 2000 ",Luxembourg,Midfielder,US Orléans,15,€2.00m,-
9622,Aeron Zinga,19 Years,"Jul 15, 2000 ",France,Forward,US Orléans,34,,-
9623,Yohan Mollo,30 Years,"Jul 18, 1989 ",France,Forward,US Orléans,20,€600k,-
9624,Issa Soumaré,19 Years,"Oct 10, 2000 ",Senegal,Forward,US Orléans,27,,-
9625,Aurélien Scheidler,21 Years,"Jun 4, 1998 ",France,Forward,US Orléans,21,€800k,-
