,PlayerName,Age,Birthdate,Nationality,Position,Club,TShirtNumber,Value 
12030,Stefanos Siontis,32 Years,"Sep 4, 1987 ",Greece,Midfielder,PAS Giannina,22,€250k
12031,Angelos Liasos,19 Years,"May 25, 2000 ",Greece,Midfielder,PAS Giannina,80,
12032,Alexandros Nikolias,25 Years,"Jul 23, 1994 ",Greece,Midfielder,PAS Giannina,88,€600k
12033,Vladyslav Naumets,21 Years,"Mar 7, 1999 ",Ukraine,Midfielder,PAS Giannina,17,€50k
12034,Stavros Pilios,19 Years,"Dec 10, 2000 ",Greece,Forward,PAS Giannina,23,€50k
12035,Alexandros Lolis,17 Years,"Sep 5, 2002 ",Greece,Forward,PAS Giannina,19,
12036,Christos Eleftheriadis,28 Years,"Sep 30, 1991 ",Greece,Forward,PAS Giannina,9,€350k
12037,Georgios Pamlidis,26 Years,"Nov 13, 1993 ",Greece,Forward,PAS Giannina,14,€250k
12038,Sandi Krizman,30 Years,"Aug 17, 1989 ",Croatia,Forward,PAS Giannina,10,€500k
12039,Georgios Xydas,22 Years,"Apr 14, 1997 ",Greece,Forward,PAS Giannina,28,€250k
12040,Jean-Baptiste Léo,23 Years,"May 3, 1996 ",France,Forward,PAS Giannina,29,€250k
12041,Fotis Koutzavasilis,31 Years,"Mar 11, 1989 ",Greece,Goalkeeper,PAE Chania,13,€250k
12042,Georgios Lazaridis,36 Years,"Jul 23, 1983 ",Greece,Goalkeeper,PAE Chania,30,€100k
12043,Theodoros Lampiris,22 Years,"Apr 13, 1997 ",Greece,Goalkeeper,PAE Chania,71,€50k
12044,Christos Gromitsaris,29 Years,"Feb 10, 1991 ",Greece,Defender,PAE Chania,55,€300k
12045,Giannis Sotirakos,25 Years,"Jan 19, 1995 ",Greece,Defender,PAE Chania,19,€250k
12046,Vangelis Andreou,29 Years,"Sep 3, 1990 ",Greece,Defender,PAE Chania,26,€200k
12047,Nikolaos Ziabaris,29 Years,"Feb 18, 1991 ",Greece,Defender,PAE Chania,33,€200k
12048,Antonis Karageorgis,22 Years,"May 16, 1997 ",Greece,Defender,PAE Chania,22,€150k
12049,Nikolaos Kechagias,19 Years,"Apr 24, 2000 ",Greece,Defender,PAE Chania,27,€25k
12050,Dimitrios Oungialidis,25 Years,"Oct 24, 1994 ",Greece,Defender,PAE Chania,63,€250k
12051,Anastasios Papachristos,27 Years,"Mar 5, 1993 ",Greece,Defender,PAE Chania,93,€200k
12052,Xenofon Panos,30 Years,"Aug 25, 1989 ",Greece,Defender,PAE Chania,2,€250k
12053,Hussein Mumin,33 Years,"Mar 24, 1987 ",Greece,Midfielder,PAE Chania,16,€250k
12054,Alexis Seliniotakis,30 Years,"Jul 10, 1989 ",Greece,Midfielder,PAE Chania,6,€200k
12055,Vasilios Triantafyllakos,28 Years,"Jul 16, 1991 ",Greece,Midfielder,PAE Chania,5,€250k
12056,Konstantinos Panagiotoudis,25 Years,"Dec 3, 1994 ",Greece,Midfielder,PAE Chania,68,€200k
12057,Athanasios Kartsabas,22 Years,"Jun 3, 1997 ",Greece,Midfielder,PAE Chania,23,
12058,Carlito,24 Years,"Jun 18, 1995 ",Brazil,Midfielder,PAE Chania,95,
12059,Evripidis Giakos,28 Years,"Apr 9, 1991 ",Greece,Midfielder,PAE Chania,1,€300k
12060,Anastasios Dimitriadis,23 Years,"Feb 27, 1997 ",Greece,Midfielder,PAE Chania,11,€200k
12061,Alexandros Arnarellis,28 Years,"Oct 1, 1991 ",Greece,Forward,PAE Chania,7,€350k
12062,Paschalis Kassos,28 Years,"Nov 7, 1991 ",Greece,Forward,PAE Chania,31,€250k
12063,Thomas Vasiliou,25 Years,"Jul 28, 1994 ",Greece,Forward,PAE Chania,20,€100k
12064,Nikolaos Vrettos,24 Years,"Oct 24, 1995 ",Greece,Forward,PAE Chania,10,€200k
12065,Nikolaos Kouskounas,31 Years,"Dec 23, 1988 ",Greece,Forward,PAE Chania,9,€300k
12066,Christos Tzioras,31 Years,"Oct 5, 1988 ",Greece,Forward,PAE Chania,66,€250k
12067,Ousmane Sountoura,25 Years,"Nov 9, 1994 ",Mali,Forward,PAE Chania,-,€150k
12068,Dimitrios Katsimitros,22 Years,"Jun 12, 1997 ",Greece,Goalkeeper,GS Ergotelis,1,€250k
12069,Manolis Kalogerakis,28 Years,"Mar 12, 1992 ",Greece,Goalkeeper,GS Ergotelis,31,€200k
12070,Georgios Tzelepis,20 Years,"Nov 12, 1999 ",Greece,Goalkeeper,GS Ergotelis,40,€100k
12071,Nikolaos Psimopoulos,16 Years,"Jun 19, 2003 ",Greece,Goalkeeper,GS Ergotelis,-,
12072,Kyriakos Mazoulouxis,22 Years,"May 1, 1997 ",Greece,Defender,GS Ergotelis,-,€300k
12073,Christos Batzios,28 Years,"Oct 15, 1991 ",Greece,Defender,GS Ergotelis,5,€300k
12074,Dominik Spiriak,21 Years,"Mar 22, 1999 ",Slovakia,Defender,GS Ergotelis,32,€200k
12075,Michalis Bousis,21 Years,"Jan 2, 1999 ",Greece,Defender,GS Ergotelis,12,
12076,Nikolaos Peios,20 Years,"Jun 17, 1999 ",Greece,Defender,GS Ergotelis,14,
12077,Giannis Kiliaras,31 Years,"Jun 9, 1988 ",Greece,Defender,GS Ergotelis,33,€150k
12078,Arthur Bothe,23 Years,"Jan 7, 1997 ",Brazil,Defender,GS Ergotelis,77,
12079,Konstantinos Provydakis,23 Years,"May 21, 1996 ",Greece,Defender,GS Ergotelis,2,€150k
12080,Oresti Kacurri,22 Years,"Feb 25, 1998 ",Albania,Midfielder,GS Ergotelis,17,€100k
12081,Antonis Alexakis,18 Years,"Jul 2, 2001 ",Greece,Midfielder,GS Ergotelis,26,
12082,Albert Bruce,26 Years,"Dec 30, 1993 ",Ghana,Midfielder,GS Ergotelis,21,€250k
12083,Ilias Tselios,22 Years,"Oct 6, 1997 ",Greece,Midfielder,GS Ergotelis,38,€350k
12084,Antonis Bourselis,25 Years,"Jul 6, 1994 ",Greece,Midfielder,GS Ergotelis,10,€300k
12085,Giannis Boutsakis,26 Years,"Feb 8, 1994 ",Greece,Midfielder,GS Ergotelis,23,€250k
12086,Barata,24 Years,"Mar 3, 1996 ",Portugal,Midfielder,GS Ergotelis,80,-
12087,Nektarios Azizi,19 Years,"Nov 4, 2000 ",Greece,Forward,GS Ergotelis,36,
12088,Joseph Efford,23 Years,"Aug 29, 1996 ",United States,Forward,GS Ergotelis,9,€400k
12089,Ramez Medhat,20 Years,"Aug 10, 1999 ",Egypt,Forward,GS Ergotelis,97,
12090,Manolis Rovithis,27 Years,"Sep 16, 1992 ",Greece,Forward,GS Ergotelis,11,€200k
12091,Charles Kwateng,22 Years,"May 27, 1997 ",Belgium,Forward,GS Ergotelis,27,€200k
12092,Giannis Iatroudis,21 Years,"Feb 2, 1999 ",Greece,Forward,GS Ergotelis,20,€250k
12093,Georgios Manousakis,21 Years,"Apr 10, 1998 ",Greece,Forward,GS Ergotelis,7,€150k
12094,Antonis Stathopoulos,22 Years,"Feb 23, 1998 ",Greece,Forward,GS Ergotelis,19,€50k
12095,Ahmet Atef,22 Years,"Mar 21, 1998 ",Egypt,Forward,GS Ergotelis,-,
12096,Vladimir Bajic,32 Years,"Nov 28, 1987 ",Serbia,Goalkeeper,APO Levadiakos,19,€200k
12097,Giannis Angelopoulos,22 Years,"Apr 3, 1998 ",Greece,Goalkeeper,APO Levadiakos,-,€50k
12098,Vuko Vujovic,20 Years,"Feb 29, 2000 ",Montenegro,Goalkeeper,APO Levadiakos,88,€50k
12099,Benjamin Angoua,33 Years,"Nov 28, 1986 ",Cote d'Ivoire,Defender,APO Levadiakos,5,€200k
12100,Panagiotis Liagas,20 Years,"Nov 5, 1999 ",Greece,Defender,APO Levadiakos,24,€200k
12101,Athanasios Panteliadis,32 Years,"Sep 6, 1987 ",Greece,Defender,APO Levadiakos,14,€300k
12102,Marios Vichos,20 Years,"Jan 14, 2000 ",Greece,Defender,APO Levadiakos,3,
12103,Georgios Mygas,25 Years,"Apr 7, 1994 ",Greece,Defender,APO Levadiakos,94,€300k
12104,Leonidas Argyropoulos,29 Years,"May 29, 1990 ",Greece,Defender,APO Levadiakos,77,€250k
12105,Stathis Chatzilampros,22 Years,"Jun 24, 1997 ",Greece,Defender,APO Levadiakos,2,€100k
12106,Georgios Nikas,20 Years,"Sep 17, 1999 ",Greece,Midfielder,APO Levadiakos,4,€100k
12107,Triantafyllos Tsapras,18 Years,"Oct 22, 2001 ",Greece,Midfielder,APO Levadiakos,25,
12108,Alfredo Mejía,30 Years,"Apr 3, 1990 ",Honduras,Midfielder,APO Levadiakos,12,€300k
12109,Zisis Karachalios,24 Years,"Jan 10, 1996 ",Greece,Midfielder,APO Levadiakos,21,€300k
12110,Emmanuel Koné,33 Years,"Dec 31, 1986 ",Cote d'Ivoire,Midfielder,APO Levadiakos,8,€250k
12111,Chrysovalantis Kozoronis,27 Years,"Aug 3, 1992 ",Greece,Midfielder,APO Levadiakos,22,€200k
12112,Tilemachos Karampas,19 Years,"Apr 5, 2001 ",Greece,Forward,APO Levadiakos,17,
12113,Vangelis Makris,21 Years,"Feb 27, 1999 ",Greece,Forward,APO Levadiakos,86,
12114,Panagiotis Symelidis,27 Years,"Nov 3, 1992 ",Greece,Forward,APO Levadiakos,31,€250k
12115,Lucas Poletto,25 Years,"Mar 29, 1995 ",Brazil,Forward,APO Levadiakos,7,€200k
12116,Ulrich N'Nomo,24 Years,"Feb 28, 1996 ",France,Forward,APO Levadiakos,29,€250k
12117,Giannis Bastianos,21 Years,"Apr 29, 1998 ",Greece,Forward,APO Levadiakos,-,€150k
12118,Fotis Ioannidis,20 Years,"Jan 10, 2000 ",Greece,Forward,APO Levadiakos,27,€300k
12119,Vangelis Mantzios,36 Years,"Apr 22, 1983 ",Greece,Forward,APO Levadiakos,9,€200k
12120,Vasilios Soulis,25 Years,"Dec 7, 1994 ",Greece,Goalkeeper,AO Platanias,64,€250k
12121,Venizelos Pentarakis,19 Years,"Jul 15, 2000 ",Greece,Goalkeeper,AO Platanias,17,
12122,Nikolaos Anomerianakis,16 Years,"Apr 23, 2003 ",Greece,Goalkeeper,AO Platanias,29,
12123,Vasilios Katsaros,19 Years,"Oct 20, 2000 ",Greece,Defender,AO Platanias,18,
12124,Konstantinos Tsamouris,25 Years,"Nov 14, 1994 ",Greece,Defender,AO Platanias,4,€300k
12125,Manolis Roussakis,24 Years,"Feb 15, 1996 ",Greece,Defender,AO Platanias,21,€300k
12126,Doriano Kortstam,25 Years,"Jul 7, 1994 ",Curacao,Defender,AO Platanias,6,€250k
12127,Marios Pourzitidis,20 Years,"May 8, 1999 ",Greece,Defender,AO Platanias,37,€150k
12128,Saado Abdel Salam Fouflia,22 Years,"Nov 23, 1997 ",Palästina,Defender,AO Platanias,5,€50k
12129,Thomas Garas,21 Years,"May 18, 1998 ",Greece,Defender,AO Platanias,51,-
12130,Samouil Niavradakis,18 Years,"Feb 20, 2002 ",Greece,Defender,AO Platanias,99,
12131,Stelios Pozatzidis,25 Years,"Jun 24, 1994 ",Greece,Defender,AO Platanias,24,€300k
12132,Abdul Rahman Oues,21 Years,"Jun 14, 1998 ",Greece,Defender,AO Platanias,12,€350k
12133,Chrysostomos Revythopoulos,24 Years,"Dec 19, 1995 ",Greece,Defender,AO Platanias,2,€50k
12134,Georgios Kostikos,22 Years,"Oct 20, 1997 ",Greece,Midfielder,AO Platanias,22,€50k
12135,Vasilios Karagounis,26 Years,"Jan 18, 1994 ",Greece,Midfielder,AO Platanias,32,€300k
12136,Manolis Smyrlakis,20 Years,"Jun 11, 1999 ",Greece,Midfielder,AO Platanias,33,€50k
12137,Yaël Eisden,26 Years,"Jan 11, 1994 ",Curacao,Midfielder,AO Platanias,42,€50k
12138,Athanasios Leonidopoulos,23 Years,"Jun 3, 1996 ",Greece,Midfielder,AO Platanias,16,
12139,Stefanos Papoutsogiannopoulos,25 Years,"Aug 10, 1994 ",Greece,Midfielder,AO Platanias,28,€200k
12140,Angelos Ikonomou,24 Years,"Aug 23, 1995 ",Greece,Midfielder,AO Platanias,8,€100k
12141,Paris Babis,20 Years,"Jul 17, 1999 ",Greece,Midfielder,AO Platanias,14,€100k
12142,Spyros Karvounis,20 Years,"Jul 21, 1999 ",Greece,Midfielder,AO Platanias,20,€50k
12143,Manolis Kragiopoulos,21 Years,"May 29, 1998 ",Greece,Midfielder,AO Platanias,19,
12144,Matheus Leiria,25 Years,"Jan 22, 1995 ",Brazil,Forward,AO Platanias,7,€200k
12145,Thomas Papadopoulos,24 Years,"Mar 24, 1996 ",Greece,Forward,AO Platanias,77,€200k
12146,Gerasimos Voukelatos,22 Years,"Mar 29, 1998 ",Greece,Forward,AO Platanias,10,€100k
12147,Christos Paschalakis,25 Years,"Feb 1, 1995 ",Greece,Forward,AO Platanias,3,-
12148,Christos Giousis,21 Years,"Feb 8, 1999 ",Greece,Forward,AO Platanias,11,€150k
12149,Giannis Loukinas,28 Years,"Sep 20, 1991 ",Greece,Forward,AO Platanias,23,€350k
12150,Konstantinos Kapoutaglis,23 Years,"Jul 1, 1996 ",Greece,Goalkeeper,Panachaiki GE,52,€150k
12151,Marko Atanackovic,33 Years,"May 13, 1986 ",Sweden,Goalkeeper,Panachaiki GE,77,€125k
12152,Adam Tsekouras,17 Years,"Sep 6, 2002 ",Greece,Goalkeeper,Panachaiki GE,-,
12153,Marios Mikes,17 Years,"Jan 5, 2003 ",Greece,Goalkeeper,Panachaiki GE,13,
12154,Dimitrios Kotsonis,31 Years,"Jan 25, 1989 ",Greece,Defender,Panachaiki GE,39,€350k
12155,Timotheos Tselepidis,24 Years,"Feb 2, 1996 ",Greece,Defender,Panachaiki GE,62,€300k
12156,Pantelis Theologou,28 Years,"May 7, 1991 ",Greece,Defender,Panachaiki GE,21,€250k
12157,Dimitrios Patapis,23 Years,"Jun 14, 1996 ",Greece,Defender,Panachaiki GE,5,
12158,James Stamopoulos,28 Years,"Jun 24, 1991 ",Canada,Defender,Panachaiki GE,3,€250k
12159,Dimitrios Kalabokas,18 Years,"Sep 4, 2001 ",Greece,Defender,Panachaiki GE,41,
12160,Vasilios Vasilopoulos,20 Years,"Feb 13, 2000 ",Greece,Defender,Panachaiki GE,2,
12161,Iason Stavropoulos,20 Years,"Jan 10, 2000 ",Greece,Midfielder,Panachaiki GE,25,€25k
12162,Timoleon Patronis,19 Years,"Sep 19, 2000 ",Greece,Midfielder,Panachaiki GE,6,
12163,Konstantinos Papadopoulos,19 Years,"Aug 8, 2000 ",Greece,Midfielder,Panachaiki GE,27,
12164,Lefteris Intzoglou,33 Years,"Mar 3, 1987 ",Greece,Midfielder,Panachaiki GE,8,€150k
12165,Georgios Moustakopoulos,21 Years,"Aug 13, 1998 ",Greece,Midfielder,Panachaiki GE,22,€150k
12166,Athanasios Papatolios,25 Years,"Jul 14, 1994 ",Greece,Midfielder,Panachaiki GE,14,€200k
12167,Dimos Kokas,22 Years,"Apr 26, 1997 ",Greece,Midfielder,Panachaiki GE,23,
12168,Dimitrios Froxylias,26 Years,"Jun 28, 1993 ",Cyprus,Midfielder,Panachaiki GE,20,€150k
12169,Dimitrios Anakoglou,28 Years,"Sep 6, 1991 ",Greece,Midfielder,Panachaiki GE,10,€100k
12170,Christos Tsotras,19 Years,"May 13, 2000 ",Greece,Forward,Panachaiki GE,71,
12171,Savvas Siatravanis,27 Years,"Nov 24, 1992 ",Greece,Forward,Panachaiki GE,12,€300k
12172,Nikolaos Masouras,18 Years,"Jun 15, 2001 ",Greece,Forward,Panachaiki GE,33,€100k
12173,Dimitrios Mavrias,23 Years,"Oct 3, 1996 ",Greece,Forward,Panachaiki GE,7,€200k
12174,Panagiotis Kynigopoulos,23 Years,"Sep 24, 1996 ",Greece,Forward,Panachaiki GE,26,€200k
12175,Nestoras Mytidis,28 Years,"Jun 1, 1991 ",Cyprus,Forward,Panachaiki GE,9,€350k
12176,Andreas Antonakopoulos,23 Years,"Mar 15, 1997 ",Greece,Forward,Panachaiki GE,19,€25k
12177,Nestoras Gekas,25 Years,"Mar 7, 1995 ",Greece,Goalkeeper,Apollon Larisas,1,€100k
12178,Georgios Vasiliadis,23 Years,"Jun 10, 1996 ",Greece,Goalkeeper,Apollon Larisas,96,€100k
12179,Kleomenis Theologis,23 Years,"Apr 9, 1996 ",Greece,Goalkeeper,Apollon Larisas,13,
12180,Lazaros Kardanis,21 Years,"Oct 10, 1998 ",Greece,Goalkeeper,Apollon Larisas,65,
12181,Dimitrios Kosmidis,21 Years,"Aug 14, 1998 ",Greece,Defender,Apollon Larisas,21,
12182,Dimitrios Souliotis,24 Years,"Jul 23, 1995 ",Greece,Defender,Apollon Larisas,5,€300k
12183,Angelos Karatasios,22 Years,"Jun 22, 1997 ",Greece,Defender,Apollon Larisas,44,€300k
12184,Kostandin Kariqi,23 Years,"Oct 30, 1996 ",Albania,Defender,Apollon Larisas,6,€250k
12185,Apostolos Koulpas,24 Years,"Feb 23, 1996 ",Greece,Defender,Apollon Larisas,4,€50k
12186,Konstantinos Kourtesiotis,35 Years,"Jun 5, 1984 ",Greece,Defender,Apollon Larisas,3,€100k
12187,Konstantinos Kamperis,23 Years,"Jul 10, 1996 ",Greece,Defender,Apollon Larisas,11,€100k
12188,Konstantinos Skoupra,31 Years,"May 16, 1988 ",Greece,Defender,Apollon Larisas,22,€200k
12189,Konstantinos Georgakopoulos,21 Years,"Feb 24, 1999 ",Greece,Defender,Apollon Larisas,2,
12190,Marios Kostoulas,24 Years,"Mar 12, 1996 ",Greece,Midfielder,Apollon Larisas,24,€150k
12191,David Nazim,23 Years,"Nov 7, 1996 ",Nigeria,Midfielder,Apollon Larisas,99,€150k
12192,Konstantinos Chatzis,35 Years,"Mar 22, 1985 ",Greece,Midfielder,Apollon Larisas,55,€100k
12193,Dimitrios Litenas,24 Years,"Sep 21, 1995 ",Greece,Midfielder,Apollon Larisas,10,€250k
12194,Michalandreas Nyktaris,20 Years,"Dec 30, 1999 ",Greece,Midfielder,Apollon Larisas,8,€100k
12195,Alexandros Bimai,22 Years,"Jul 11, 1997 ",Greece,Midfielder,Apollon Larisas,14,€50k
12196,Prodromos Koutsoukis,20 Years,"Feb 7, 2000 ",Greece,Midfielder,Apollon Larisas,80,
12197,Dimitrios Tasioulis,23 Years,"Feb 19, 1997 ",Greece,Forward,Apollon Larisas,7,€200k
12198,Gustavo Balotelli,23 Years,"Jun 25, 1996 ",Brazil,Forward,Apollon Larisas,23,€150k
12199,Vangelis Nousios,21 Years,"Jul 6, 1998 ",Greece,Forward,Apollon Larisas,18,€150k
12200,Michalis Bastakos,23 Years,"Jul 27, 1996 ",Greece,Forward,Apollon Larisas,27,€250k
12201,Fotis Goudroubis,24 Years,"Jul 22, 1995 ",Greece,Forward,Apollon Larisas,77,€100k
12202,Mark Sifneos,23 Years,"Nov 24, 1996 ",Netherlands,Forward,Apollon Larisas,9,€50k
12203,Argyris Brebos,23 Years,"Sep 24, 1996 ",Greece,Forward,Apollon Larisas,26,€50k
12204,Orestis Menka,27 Years,"Jul 27, 1992 ",Albania,Goalkeeper,Doxa Dramas,1,€200k
12205,Michalis Iliadis,23 Years,"May 29, 1996 ",Greece,Goalkeeper,Doxa Dramas,33,€100k
12206,Boison Wynney,23 Years,"Dec 27, 1996 ",Liberia,Goalkeeper,Doxa Dramas,13,
12207,Stergios Kapsalis,25 Years,"Nov 23, 1994 ",Greece,Defender,Doxa Dramas,23,€250k
12208,Igor Engonga,25 Years,"Jan 4, 1995 ",Equatorial Guinea,Defender,Doxa Dramas,2,€200k
12209,Alkiviadis Markopouliotis,23 Years,"Aug 13, 1996 ",Greece,Defender,Doxa Dramas,4,€150k
12210,Christos Koukolis,29 Years,"Apr 26, 1990 ",Greece,Defender,Doxa Dramas,18,€150k
12211,Antonis Anastasiou,23 Years,"Sep 13, 1996 ",Greece,Defender,Doxa Dramas,26,€150k
12212,Iordanis Papargyriou,27 Years,"May 15, 1992 ",Greece,Defender,Doxa Dramas,3,€100k
12213,Dimitrios Siopis,24 Years,"Sep 6, 1995 ",Greece,Defender,Doxa Dramas,21,€300k
12214,Stergios Paraskevas,19 Years,"Feb 11, 2001 ",Greece,Midfielder,Doxa Dramas,32,€25k
12215,Konstantinos Plegas,22 Years,"Apr 20, 1997 ",Greece,Midfielder,Doxa Dramas,8,€300k
12216,Athanasios Pindonis,34 Years,"Mar 24, 1986 ",Greece,Midfielder,Doxa Dramas,22,-
12217,Stefanos Routsis,17 Years,"Jan 4, 2003 ",Greece,Midfielder,Doxa Dramas,17,
12218,Dimitrios Papaioannou,18 Years,"Oct 4, 2001 ",Greece,Midfielder,Doxa Dramas,37,
12219,Stephen Hammond,23 Years,"Aug 6, 1996 ",Ghana,Midfielder,Doxa Dramas,40,-
12220,Georgios Apostolidis,24 Years,"Jun 22, 1995 ",Greece,Forward,Doxa Dramas,12,€150k
12221,Alexandros Kontos,33 Years,"Sep 12, 1986 ",Greece,Forward,Doxa Dramas,19,€150k
12222,Sergi Perelló,23 Years,"Dec 16, 1996 ",Equatorial Guinea,Forward,Doxa Dramas,11,
12223,Anastasios Kritikos,25 Years,"Jan 25, 1995 ",Greece,Forward,Doxa Dramas,7,€300k
12224,Anestis Tasios,19 Years,"Mar 13, 2001 ",Greece,Forward,Doxa Dramas,20,
12225,Christos Rovas,25 Years,"Sep 2, 1994 ",Greece,Forward,Doxa Dramas,9,€200k
12226,Georgios Litskas,24 Years,"Jun 16, 1995 ",Greece,Forward,Doxa Dramas,99,€150k
12227,Nikolaos Sampanidis,21 Years,"Nov 2, 1998 ",Greece,Forward,Doxa Dramas,34,€100k
12228,Uwe Gospodarek,46 Years,"Aug 6, 1973 ",Germany,Goalkeeper,AE Karaiskakis Artas,-,-
12229,Georg Koch,48 Years,"Feb 3, 1972 ",Germany,Goalkeeper,AE Karaiskakis Artas,-,-
12230,Petr Gabriel,46 Years,"May 17, 1973 ",Czech Republic,Defender,AE Karaiskakis Artas,-,-
12231,Harry Koch,50 Years,"Nov 15, 1969 ",Germany,Defender,AE Karaiskakis Artas,-,-
12232,Slobodan Komljenovic,49 Years,N/A ,Serbia,Defender,AE Karaiskakis Artas,-,-
12233,Dimitrios Grammozis,41 Years,"Jul 8, 1978 ",Greece,Midfielder,AE Karaiskakis Artas,-,-
12234,Marian Hristov,46 Years,"Jul 29, 1973 ",Bulgaria,Midfielder,AE Karaiskakis Artas,-,-
12235,Andreas Buck,52 Years,"Dec 29, 1967 ",Germany,Midfielder,AE Karaiskakis Artas,-,-
12236,Youri Djorkaeff,52 Years,"Mar 9, 1968 ",France,Midfielder,AE Karaiskakis Artas,-,-
12237,Miroslav Klose,41 Years,"Jun 9, 1978 ",Germany,Forward,AE Karaiskakis Artas,-,-
12238,Georgios Malesios,20 Years,"Oct 14, 1999 ",Greece,Goalkeeper,Apollon Pontou,91,€25k
12239,Athanasios Batalamas,19 Years,"Feb 16, 2001 ",Greece,Goalkeeper,Apollon Pontou,1,
12240,Theofilos Profyllidis,18 Years,"Mar 17, 2002 ",Greece,Goalkeeper,Apollon Pontou,19,
12241,Andreas Chatziathanasiou,23 Years,"Feb 3, 1997 ",Cyprus,Defender,Apollon Pontou,33,€25k
12242,Georgios Kallias,17 Years,"Dec 27, 2002 ",Greece,Defender,Apollon Pontou,6,
12243,Nikolaos Tsoumanis,29 Years,"Jun 8, 1990 ",Greece,Defender,Apollon Pontou,18,€200k
12244,Dimitrios Amarantidis,33 Years,"Jul 27, 1986 ",Greece,Defender,Apollon Pontou,23,€150k
12245,Athanasios Stoikos,20 Years,"Mar 21, 2000 ",Greece,Defender,Apollon Pontou,8,
12246,Giannis Dalianopoulos,21 Years,"Mar 3, 1999 ",Greece,Defender,Apollon Pontou,2,€100k
12247,Marios Chatzikonstantinou,22 Years,"Sep 3, 1997 ",Greece,Defender,Apollon Pontou,20,
12248,Marios Christodoulou,19 Years,"Sep 29, 2000 ",Greece,Defender,Apollon Pontou,26,
12249,Leonidas Andreadis,17 Years,"May 29, 2002 ",Greece,Defender,Apollon Pontou,29,
12250,Theofanis Tsiatas,21 Years,"Mar 30, 1999 ",Greece,Midfielder,Apollon Pontou,44,€50k
12251,Filoxenos Toursidis,18 Years,"Apr 25, 2001 ",Greece,Midfielder,Apollon Pontou,14,
12252,Markelo Nasto,18 Years,"Jul 23, 2001 ",Albania,Midfielder,Apollon Pontou,22,
12253,Alexandros Kalogeris,33 Years,"May 14, 1986 ",Greece,Midfielder,Apollon Pontou,15,€100k
12254,Alexandros Giannakopoulos,19 Years,"Feb 5, 2001 ",Greece,Midfielder,Apollon Pontou,77,
12255,Sokratis Aidonidis,21 Years,"Mar 16, 1999 ",Greece,Midfielder,Apollon Pontou,4,
12256,Anestis Anastasiadis,19 Years,"Mar 12, 2001 ",Greece,Forward,Apollon Pontou,17,
12257,Borce Laskov,20 Years,"Jul 27, 1999 ",North Macedonia,Forward,Apollon Pontou,13,
12258,Charalampos Mouratidis,17 Years,"Dec 14, 2002 ",Greece,Forward,Apollon Pontou,9,
12259,Vasilios Fragos,18 Years,"May 17, 2001 ",Greece,Forward,Apollon Pontou,10,
12260,Nikolaos Voutselas,21 Years,"Jan 4, 1999 ",Greece,Goalkeeper,AOK Kerkyra,66,€50k
12261,Petros Pagratis,19 Years,"Jan 7, 2001 ",Greece,Goalkeeper,AOK Kerkyra,16,€25k
12262,Christos Tzafestas,17 Years,"Aug 14, 2002 ",Greece,Goalkeeper,AOK Kerkyra,33,
12263,Christos Zervopoulos,21 Years,"Jan 11, 1999 ",Greece,Defender,AOK Kerkyra,21,€50k
12264,Pedro Nicolau,20 Years,"Feb 12, 2000 ",Brazil,Defender,AOK Kerkyra,3,
12265,Alexandros Spintzos,21 Years,"Jul 10, 1998 ",Greece,Defender,AOK Kerkyra,5,
12266,Stefanos Gitsis,20 Years,"Jun 26, 1999 ",Greece,Defender,AOK Kerkyra,25,
12267,Nikitas Tsanis,20 Years,"May 24, 1999 ",Greece,Defender,AOK Kerkyra,39,
12268,Panagiotis Panagiotidis,21 Years,"Aug 4, 1998 ",Greece,Defender,AOK Kerkyra,4,€25k
12269,Konstantinos Vlachos,20 Years,"Sep 3, 1999 ",Greece,Defender,AOK Kerkyra,23,€25k
12270,Lefteris Tsatalpasidis,19 Years,"Dec 27, 2000 ",Greece,Defender,AOK Kerkyra,12,
12271,Spyros Gogos,19 Years,"Mar 2, 2001 ",Greece,Midfielder,AOK Kerkyra,-,
12272,Dimitrios Kentros,19 Years,"Apr 11, 2000 ",Greece,Midfielder,AOK Kerkyra,-,
12273,Konstantinos Georgakopoulos,21 Years,"Feb 15, 1999 ",Greece,Midfielder,AOK Kerkyra,71,
12274,Grigoris Ziogas,21 Years,"Nov 27, 1998 ",Greece,Midfielder,AOK Kerkyra,-,
12275,Pedro Marlon,20 Years,"Apr 5, 2000 ",Brazil,Midfielder,AOK Kerkyra,8,
12276,Dimitrios Sarigiannis,21 Years,"Jan 11, 1999 ",Greece,Midfielder,AOK Kerkyra,7,
12277,Andrew Mesourouni,19 Years,"Dec 19, 2000 ",Australia,Midfielder,AOK Kerkyra,47,
12278,Panagiotis Bamioglou,20 Years,"Jun 6, 1999 ",Greece,Forward,AOK Kerkyra,12,
12279,Athanasios Nikoloudis,21 Years,"Feb 2, 1999 ",Greece,Forward,AOK Kerkyra,17,
12280,Harrison De Nicolo,20 Years,"Jun 25, 1999 ",Australia,Forward,AOK Kerkyra,19,
12281,Kyparissis Gasidis,19 Years,"Jan 9, 2001 ",Greece,Forward,AOK Kerkyra,45,
12282,Youri de Winter,21 Years,"Jun 26, 1998 ",Netherlands,Forward,AOK Kerkyra,9,-
12283,Stratos Lampoglou,21 Years,"Apr 2, 1999 ",Greece,Forward,AOK Kerkyra,11,
